"39850831";"0001";"98";"1";"";"02";"20201119";"00";"";"";"20201119";"3299003";"2740602,4329101";"RUA";"ALCINDA RIBEIRO DE SOUZA";"90";"";"PIONEIROS";"76970000";"RO";"0011";"69";"84134016";"";"";"";"";"AUDICONPB@GMAIL.COM";"";""
"39850845";"0001";"01";"1";"";"08";"20240201";"01";"";"";"20201119";"4729699";"5320202,5620104,5612100";"RUA";"RUA MARECHAL FLORIANO PEIXOTO";"1365";"CASA CASA BRANCA DE ESQUINA";"PARQUE DOS PRESIDENTES";"95590000";"RS";"8935";"51";"94435039";"";"";"";"";"PSILVEIRA86523173@GMAIL.COM";"";""
"39850858";"0001";"80";"1";"TJUHLY";"08";"20220424";"01";"";"";"20201119";"7319002";"9602501";"RUA";"ELMANO SOARES";"289";"";"VILA NASSER";"79117090";"MS";"9051";"67";"84624695";"";"";"";"";"TJUHLY11@GMAIL.COM";"";""
"39850871";"0001";"30";"1";"";"04";"20231114";"63";"";"";"20201119";"9602501";"";"RUA";"CARDEAL JEAN";"13";"CONJ";"RIO SENA";"40715366";"BA";"3849";"71";"91175962";"";"";"";"";"JOYCECLEIDE311@GMAIL.COM";"";""
"39850883";"0001";"64";"1";"";"04";"20240808";"63";"";"";"20201119";"8219999";"5819100,9700500";"RUA";"ANTONIO PAULINO TEIXEIRA DE FREITAS";"213";"";"CAMPO COMPRIDO";"81220450";"PR";"7535";"41";"96339589";"";"";"";"";"CWB_PEQUENA@HOTMAIL.COM";"";""
"39850895";"0001";"99";"1";"RAINHA DA FLORESTA";"02";"20201119";"00";"";"";"20201119";"4789099";"4642701,4649499,4689301,4729601,4781400,4783101,4789001";"RUA";"SAO FRANCISCO";"136";"LOJA  2";"VILA GALVAO";"07071010";"SP";"6477";"11";"26002694";"";"";"";"";"ERIBORBOREMA@HOTMAIL.COM";"";""
"39850907";"0001";"85";"1";"";"02";"20201119";"00";"";"";"20201119";"4789099";"";"AVENIDA";"AV PROFESSOR AMARAL";"161";"";"SAO SEBASTIAO";"55660000";"PE";"2337";"81";"92473404";"";"";"";"";"DAYANNETUNSTALL@HOTMAIL.COM";"";""
"39850919";"0001";"00";"1";"FELIPE DE SOUZA FONTANA";"02";"20201119";"00";"";"";"20201119";"9511800";"6190699";"RUA";"JOSE STELLA";"514";"";"JARDIM ANA LUIZA";"13295000";"SP";"6581";"11";"44966659";"";"";"";"";"FELIPEFONTANA0@GMAIL.COM";"";""
"39850931";"0001";"14";"1";"DIONATHAN";"08";"20230818";"01";"";"";"20201119";"5813100";"";"RUA";"IMPALA";"18";"";"PARQUE AMORIM";"26185345";"RJ";"2909";"21";"31340745";"";"";"";"";"DIONATHANSOUSA25@HOTMAIL.COM";"";""
"39850942";"0001";"02";"1";"MUSTANG";"08";"20210611";"01";"";"";"20201119";"4723700";"";"SERVIDAO";"DOS PINHEIROS";"730";"CONJ";"INGLESES DO RIO VERMELHO";"88058290";"SC";"8105";"48";"96964037";"";"";"";"";"VIVIANESCALIZA9@GMAIL.COM";"";""
